Res,TotalQuad,Region,AvIntensity
1,995100,BB,-8.22
1,995100,KY,-6.94
1,995100,NW,-7.6
1,995100,SW,-7.42
1,995100,TB,-6.04
1.5,442065,BB,-8.26
1.5,442065,KY,-7.19
1.5,442065,NW,-7.69
1.5,442065,SW,-7.9
1.5,442065,TB,-6.31
2,248910,BB,-8.42
2,248910,KY,-7.14
2,248910,NW,-7.79
2,248910,SW,-7.89
2,248910,TB,-6.32
2.5,159315,BB,-8.18
2.5,159315,KY,-7.52
2.5,159315,NW,-7.98
2.5,159315,SW,-8.36
2.5,159315,TB,-6.48
3,110580,BB,-8.23
3,110580,KY,-7.24
3,110580,NW,-7.51
3,110580,SW,-7.78
3,110580,TB,-6.22
4,62205,BB,-8.41
4,62205,KY,-7.23
4,62205,NW,-8.06
4,62205,SW,-8.42
4,62205,TB,-6.72
5,39825,BB,-9.08
5,39825,KY,-8.8
5,39825,NW,-8.5
5,39825,SW,-9.03
5,39825,TB,-7.13
6,27510,BB,-9
6,27510,KY,-9.5
6,27510,NW,-8.65
6,27510,SW,-9.8
6,27510,TB,-7.34
7,20445,BB,-9
7,20445,KY,-9.5
7,20445,NW,-8.65
7,20445,SW,-9.8
7,20445,TB,-7.34
8,15555,BB,-12.9
8,15555,KY,-21.7
8,15555,NW,-15.9
8,15555,SW,-18.8
8,15555,TB,-10.6
